# ID x y z r p longitude latitude
87787 3.81000000e+05 -1.46690000e+06 -2.39290000e+06 2.83250000e+06 1.47450000e+10 -1.31667987e+00 -1.00619392e+00
87789 7.54000000e+05 -1.54800000e+06 -1.95930000e+06 2.60840000e+06 1.49700000e+10 -1.11753795e+00 -8.49802631e-01
87790 8.97000000e+05 -1.52970000e+06 -2.36950000e+06 2.95960000e+06 9.33850000e+09 -1.04044467e+00 -9.28320833e-01
87792 1.30700000e+06 -1.86460000e+06 -2.29680000e+06 3.23430000e+06 6.21820000e+09 -9.59429960e-01 -7.89694488e-01
87803 7.50000000e+05 -1.34230000e+06 -2.17590000e+06 2.66440000e+06 1.74760000e+10 -1.06126584e+00 -9.55593934e-01
87816 8.60000000e+04 -1.07990000e+06 -2.15050000e+06 2.40800000e+06 1.96170000e+10 -1.49132704e+00 -1.10411150e+00
87817 2.12000000e+05 -9.24700000e+05 -1.96300000e+06 2.18030000e+06 2.11620000e+10 -1.34542751e+00 -1.12053825e+00
87819 4.78000000e+05 -1.22220000e+06 -2.86200000e+06 3.14860000e+06 1.01830000e+10 -1.19798755e+00 -1.14081952e+00
87826 -1.64400000e+06 -6.68600000e+05 -2.37360000e+06 2.96380000e+06 9.79840000e+09 -2.75533152e+00 -9.28736196e-01
87834 1.47000000e+05 -8.38700000e+05 -2.27850000e+06 2.43240000e+06 1.80680000e+10 -1.39728748e+00 -1.21316653e+00
87836 8.91000000e+05 -9.34700000e+05 -2.36470000e+06 2.69430000e+06 1.29740000e+10 -8.09329618e-01 -1.07097387e+00
87844 -1.92500000e+06 -5.35800000e+05 -2.31750000e+06 3.06000000e+06 8.07260000e+09 -2.87012610e+00 -8.59249877e-01
87851 1.80000000e+05 -5.83500000e+05 -2.38490000e+06 2.46190000e+06 1.84540000e+10 -1.27157498e+00 -1.32003322e+00
87860 -2.04700000e+06 -1.05090000e+06 -2.57200000e+06 3.45110000e+06 1.31020000e+09 -2.66729412e+00 -8.40939127e-01
87863 -1.72700000e+06 -5.48500000e+05 -2.11240000e+06 2.78310000e+06 1.48900000e+10 -2.83406577e+00 -8.61790808e-01
87869 2.24000000e+05 -4.11800000e+05 -1.95340000e+06 2.00890000e+06 2.64790000e+10 -1.07260729e+00 -1.33518981e+00
87870 4.95000000e+05 -7.90200000e+05 -1.99760000e+06 2.20450000e+06 2.05370000e+10 -1.01117389e+00 -1.13408258e+00
87874 1.16500000e+06 -6.81900000e+05 -2.28530000e+06 2.65420000e+06 1.38700000e+10 -5.29556853e-01 -1.03725761e+00
87893 -2.49600000e+06 9.95000000e+04 -2.43700000e+06 3.48980000e+06 1.57750000e+09 3.10174997e+00 -7.73048876e-01
