# ID x y z r p longitude latitude
41482 -3.40360000e+06 -3.78650000e+06 -1.57490000e+05 5.09380000e+06 4.47630000e+10 -2.30299097e+00 -3.09229067e-02
41490 -1.68210000e+06 -2.80730000e+06 -1.47170000e+05 3.27600000e+06 1.41400000e+11 -2.11061843e+00 -4.49388115e-02
41561 -4.50020000e+06 -3.54100000e+06 4.36680000e+04 5.72650000e+06 1.94410000e+10 -2.47491918e+00 7.62567419e-03
41562 -4.28320000e+06 -3.43350000e+06 -3.76360000e+05 5.50240000e+06 2.68550000e+10 -2.46586451e+00 -6.84526904e-02
41601 -4.22990000e+06 -3.66380000e+06 -3.36840000e+04 5.59610000e+06 2.30750000e+10 -2.42778734e+00 -6.01922828e-03
41603 -4.43970000e+06 -3.62020000e+06 -2.24360000e+05 5.73300000e+06 1.92670000e+10 -2.45752247e+00 -3.91448297e-02
41649 -4.28760000e+06 -3.39150000e+06 -1.13440000e+05 5.46800000e+06 2.87010000e+10 -2.47236245e+00 -2.07476480e-02
41696 -5.50580000e+06 -2.72920000e+06 -1.29290000e+05 6.14650000e+06 5.19920000e+09 -2.68139461e+00 -2.10362867e-02
41742 -4.90720000e+06 -2.90740000e+06 2.53820000e+05 5.70950000e+06 2.12200000e+10 -2.60672361e+00 4.44703878e-02
43484 -1.92100000e+05 -5.85630000e+06 5.30800000e+05 5.88340000e+06 1.51560000e+10 -1.60358685e+00 9.03427843e-02
43527 8.55880000e+05 -5.12440000e+06 9.42900000e+03 5.19540000e+06 3.87060000e+10 -1.40530337e+00 1.81487569e-03
43545 -1.35570000e+06 -5.29590000e+06 4.87340000e+05 5.48830000e+06 2.80860000e+10 -1.82140510e+00 8.89132718e-02
43558 2.18780000e+06 -5.73200000e+06 8.40930000e+05 6.19270000e+06 3.90240000e+09 -1.20618056e+00 1.36214597e-01
43570 -1.51030000e+06 -5.03010000e+06 -1.37960000e+05 5.25380000e+06 3.66290000e+10 -1.86248474e+00 -2.62621074e-02
43572 -1.30490000e+06 -5.05640000e+06 8.66470000e+04 5.22280000e+06 3.82540000e+10 -1.82335479e+00 1.65909043e-02
43576 -5.25900000e+05 -5.12190000e+06 1.51780000e+05 5.15110000e+06 3.61370000e+10 -1.67311451e+00 2.94698165e-02
43596 -2.27900000e+06 -4.30870000e+06 -1.30250000e+05 4.87600000e+06 5.34550000e+10 -2.05731906e+00 -2.67156471e-02
43607 1.36000000e+04 -4.57840000e+06 6.67540000e+04 4.57890000e+06 6.59440000e+10 -1.56782587e+00 1.45791270e-02
43613 1.07260000e+06 -4.76540000e+06 2.43120000e+05 4.89070000e+06 5.07160000e+10 -1.34940499e+00 4.97311719e-02
43636 -8.21200000e+05 -3.85120000e+06 -1.18450000e+05 3.93960000e+06 9.35440000e+10 -1.78088222e+00 -3.00710361e-02
43656 -4.53370000e+06 -4.03040000e+06 1.06980000e+06 6.15980000e+06 3.30660000e+09 -2.41489555e+00 1.74559623e-01
43659 -2.89140000e+06 -4.55660000e+06 3.89060000e+05 5.41060000e+06 3.22790000e+10 -2.13623508e+00 7.19691093e-02
43660 -3.12110000e+06 -4.06440000e+06 2.83490000e+05 5.13230000e+06 3.56230000e+10 -2.22566267e+00 5.52645707e-02
43661 -2.56150000e+06 -4.32010000e+06 -1.42250000e+05 5.02440000e+06 5.00580000e+10 -2.10599819e+00 -2.83156219e-02
43694 -3.42610000e+06 -4.24390000e+06 3.26130000e+05 5.46400000e+06 3.04930000e+10 -2.24997260e+00 5.97225390e-02
43703 -1.16100000e+06 -3.73640000e+06 3.54640000e+05 3.92870000e+06 9.24500000e+10 -1.87206503e+00 9.03920904e-02
43730 -3.82880000e+06 -4.06750000e+06 -2.61700000e+05 5.59220000e+06 2.45120000e+10 -2.32597435e+00 -4.68144226e-02
43741 -1.25170000e+06 -3.27460000e+06 8.78060000e+04 3.50680000e+06 1.18060000e+11 -1.93590374e+00 2.50413988e-02
43770 -4.07570000e+06 -3.71390000e+06 -5.40080000e+05 5.54040000e+06 2.88740000e+10 -2.40260768e+00 -9.76353733e-02
43851 -4.43080000e+06 -3.29800000e+06 1.03590000e+05 5.52440000e+06 3.15980000e+10 -2.50172694e+00 1.87524567e-02
43898 -4.91830000e+06 -3.21530000e+06 -6.95060000e+05 5.91700000e+06 1.47320000e+10 -2.56259125e+00 -1.17740157e-01
43899 -4.62400000e+06 -3.35780000e+06 2.95120000e+05 5.72220000e+06 1.87240000e+10 -2.51351942e+00 5.15974608e-02
44180 -5.49330000e+06 -2.33830000e+06 1.17520000e+05 5.97140000e+06 1.19260000e+10 -2.73915973e+00 1.96817476e-02
45764 1.68000000e+04 -6.11230000e+06 9.51590000e+05 6.18600000e+06 2.07570000e+09 -1.56804778e+00 1.54442861e-01
45779 -1.59970000e+06 -5.97760000e+06 1.51000000e+05 6.18980000e+06 3.19460000e+09 -1.83228460e+00 2.43973927e-02
45785 4.50800000e+05 -5.85540000e+06 8.83630000e+05 5.93880000e+06 1.25000000e+10 -1.49395914e+00 1.49343849e-01
45794 -1.64010000e+06 -5.64120000e+06 7.76670000e+05 5.92590000e+06 1.32940000e+10 -1.85373253e+00 1.31441795e-01
45803 3.85900000e+05 -5.59300000e+06 1.92320000e+05 5.60960000e+06 2.77400000e+10 -1.50190854e+00 3.42908042e-02
45878 -2.51010000e+06 -4.45490000e+06 5.91550000e+04 5.11370000e+06 4.45290000e+10 -2.08390487e+00 1.15682029e-02
45910 -2.93780000e+06 -4.34390000e+06 1.54310000e+05 5.24630000e+06 4.00360000e+10 -2.16544177e+00 2.94173529e-02
45913 -1.83460000e+06 -4.73490000e+06 3.83400000e+05 5.09240000e+06 4.29990000e+10 -1.94044871e+00 7.53599750e-02
45989 -1.56810000e+06 -3.62630000e+06 1.70710000e+05 3.95450000e+06 9.04510000e+10 -1.97893852e+00 4.31819610e-02
45992 -1.05770000e+06 -3.32220000e+06 2.15570000e+05 3.49320000e+06 1.09940000e+11 -1.87902304e+00 6.17505612e-02
46095 5.06790000e+06 -3.48340000e+06 1.29960000e+05 6.15100000e+06 3.65480000e+09 -6.02182659e-01 2.11298441e-02
46096 -5.52410000e+06 -2.75480000e+06 -5.78060000e+05 6.19990000e+06 2.70950000e+09 -2.67899554e+00 -9.33726059e-02
46181 -4.23910000e+06 -3.47260000e+06 1.68690000e+05 5.48250000e+06 3.06060000e+10 -2.45526353e+00 3.07736668e-02
46183 -3.96350000e+06 -3.30620000e+06 -2.10710000e+05 5.16570000e+06 3.93160000e+10 -2.44636569e+00 -4.08015322e-02
